#SampleID	Metaphlan2_Analysis
d__Bacteria	85
d__Bacteria|p__Proteobacteria	85
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	85
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales	31
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	17
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderiaceae	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderiaceae|s__Burkholderiaceae	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Caballeronia|s__Caballeronia	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__CAHJXF01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__CAHJXF01|s__CAHJXF01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__CAIMXF01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__CAIMXF01|s__CAIMXF01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Herbaspirillum	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Herbaspirillum|s__Herbaspirillum	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia	3
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Paraburkholderia|s__Paraburkholderia phenazinium_C	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pararobbsia	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pararobbsia|s__Pararobbsia	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Piscinibacter	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Piscinibacter|s__Piscinibacter	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Schlegelella_A	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Schlegelella_A|s__Schlegelella_A	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Trinickia	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Trinickia|s__Trinickia	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Casimicrobiaceae	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Casimicrobiaceae|g__VBCG01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Casimicrobiaceae|g__VBCG01|s__VBCG01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__JACMKV01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__JACMKV01|g__JACMKV01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__JACMKV01|g__JACMKV01|s__JACMKV01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Rhodocyclaceae	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Rhodocyclaceae|g__Rhodocyclaceae|s__Rhodocyclaceae	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-39	7
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-39|g__JAABQT01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-39|g__JAABQT01|s__JAABQT01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-39|g__RBG-16-66-20	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-39|g__RBG-16-66-20|s__RBG-16-66-20	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-39|g__SCGC-AG-212-J23	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-39|g__SCGC-AG-212-J23|s__SCGC-AG-212-J23	5
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-40	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-40|g__JACQAP01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-40|g__JACQAP01|s__JACQAP01	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-41	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-41|g__PALSA-1004	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__SG8-41|g__PALSA-1004|s__PALSA-1004	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Usitatibacteraceae	2
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Usitatibacteraceae|g__FEB-7	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Usitatibacteraceae|g__FEB-7|s__FEB-7	1
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Usitatibacteraceae|g__Usitatibacter	1
