#SampleID	Metaphlan2_Analysis
d__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;	1
d__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|p__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;	1
d__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|p__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|c__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;	1
d__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|p__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|c__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|o__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;	1
d__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|p__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|c__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|o__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|f__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;	1
d__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|p__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|c__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|o__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|f__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|g__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;	1
d__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|p__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|c__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|o__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|f__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|g__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;|s__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;	1
d__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina sp003164755	1
d__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina sp003164755|p__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina sp003164755	1
d__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina sp003164755|p__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina sp003164755|c__Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina sp003164755	1
